?match	?score	?gene	?genename	?taxon	?taxonname
<http://purl.org/phenoscape/uuid/9db1e086-58c7-46d7-a169-f3b0714aa49e>	"0.08082402204690345"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0052508>	"Cyclopteridae"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/a36480e2-f5bd-4a58-92d5-048476324acb>	"0.4278646984478378"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0052519>	"Liparidae"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/b554eb33-16a7-47d4-bcaf-a4753e74b264>	"0.1093302522060427"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0052524>	"Elassodiscus"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/b6db428f-5eb3-4898-a458-8cd70329fcac>	"0.10796382866720962"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0053270>	"Sebastidae"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/ae80d5e9-dc81-4237-97ff-53e476ba6aeb>	"0.14393785706473694"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0053574>	"Congiopodus"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/bd185b37-2793-4aeb-b5de-7c737985964b>	"0.07830827001578011"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0055028>	"Beloniformes"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/b46b73e0-4e5b-41ca-a25e-748022538e94>	"0.18217627523584456"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0055605>	"Citharidae"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/ad2f2149-d8cd-4f8f-98d0-d1517dd2d964>	"0.2663332854304996"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0056166>	"Beryciformes"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/be18433b-46f2-4bd3-83b3-ed11eecf4202>	"0.12278929944608932"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0056195>	"Sargocentron"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/bd5ddc0f-aae7-46b2-8e9b-841e7a422ad0>	"0.09336918056643939"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0056350>	"Zenopsis"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/a59d0d90-25cf-4a54-ad2c-7e76f257359d>	"0.05068706626789257"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0056375>	"Lophiiformes"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/a299eeb3-b005-4cf6-8d42-7d4ec1886959>	"0.14749265481515592"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0057499>	"Paralepididae"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/bbe86f89-2ab7-45dc-8309-c14b4f3ea750>	"0.06940194276193591"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0057690>	"Chlorophthalmidae"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/a69f0c76-9910-446f-a8e9-422df1e5e6f1>	"0.16243635652267374"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0057715>	"Ipnopidae"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/ab13cc38-804a-4051-a57c-47e4a0fe48cf>	"0.02540360530486737"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0057869>	"Stomiidae"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/a2150cb1-2e49-4209-a12d-6b63609cae40>	"0.05372068723334965"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0058026>	"Umbridae"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/a6b5d029-bc68-4f29-840d-969776403dc5>	"0.12995861007100784"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0058051>	"Salmonidae"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/b850db7f-720f-4094-ab2a-cc52f2d52f5c>	"0.10938380211946518"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0059892>	"Exastilithoxus"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/a5e2ee66-f466-44ef-bc7e-0b8ba763ee30>	"0.09293882741097503"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0060500>	"Trachelyopterichthys"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/a67717ac-fb0d-4ecf-8576-329aa0456fcb>	"0.26434949302542154"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0060882>	"Leptorhamdia"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/b4c552c3-1a5c-4b59-afc5-0212a3cb1c95>	"0.12278929944608932"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0062094>	"Magosternarchus"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.org/phenoscape/uuid/bf9d5c11-2e8d-4129-b6a2-0c3b0f97399f>	"0.09336918056643939"^^<http://www.w3.org/2001/XMLSchema#double>	<http://www.informatics.jax.org/marker/MGI:1336991>	"Trp73"^^<http://www.w3.org/2001/XMLSchema#string>	<http://purl.obolibrary.org/obo/VTO_0066352>	"Diplomystus"^^<http://www.w3.org/2001/XMLSchema#string>
